nombre,direccion,telefono,web,email,rating,reviews,categoria,ciudad,google_place_id
"Clínica Dental Dra. Ana Belén Martínez","Cl. Mayor, 69, 30820 Alcantarilla, Murcia","+34 656 94 42 51","https://www.clinicadentalabmartinez.es/","","4.7","42","clinicas dentales","Alcantarilla","ChIJQWXn5TZ_Yw0RIzhRDJoxk4k"
"Clínica Estética Dental Smysecret","Cl. Mayor, 127, a, 30820 Alcantarilla, Murcia","+34 900 730 720","https://www.smysecret.com/espacios/%3Futm_campaign%3Dsmysecret:general%26utm_content%3Dsmysecret%26utm_id%3Dcmp-01502-f7y1t%26utm_medium%3Dgoogle-my-business%26utm_source%3Dgoogle%26utm_term%3Destetica","","5","33","clinicas dentales","Alcantarilla","ChIJEdrvhDCBZA0RsjKFHfu6QVE"
"CLÍNICA DENTAL ENTREVIAS","Cl. Mayor, 72, 30820 Alcantarilla, Murcia","+34 968 89 45 72","http://www.clinicadentalentrevias.es/","","4.8","61","clinicas dentales","Alcantarilla","ChIJx8FF3v9_Yw0RSimBjG3FgC8"
"Clínica Dental Dr. Vicente Ferrer","C. de la Cruz, 2, Entresuelo, 30820 Alcantarilla, Murcia","+34 968 80 85 36","http://www.clinicaferrer.com/","","4.7","101","clinicas dentales","Alcantarilla","ChIJNzfeUQCAZA0ROXHbLWM7V48"
"Clínica Dental Vitaldent","Cl. Mayor, 127, a, 30820 Alcantarilla, Murcia","+34 868 12 99 70","https://clinicas.vitaldent.com/murcia/clinica-dental-vitaldent-alcantarilla-plaza-adolfo-suarez-290%3Futm_campaign%3Dvitaldent%253Ageneral%26utm_content%3Dvitaldent%26utm_id%3Dcmp-01491-r6s7r%26utm_medium%3Dgoogle-my-business%26utm_source%3Dgoogle%26utm_term%3Dbranding","","4.7","129","clinicas dentales","Alcantarilla","ChIJr0iam4-BZA0RBsnDqexnjdk"
"Flores Clínica Dental","C. Raso, 8, 30820 Alcantarilla, Murcia","+34 968 80 14 62","","","4.5","23","clinicas dentales","Alcantarilla","ChIJjTEctP9_Yw0Rs0kJr6gAjHs"
"Clinica Dental La Cubana III","Av. Martínez Campos, 82, 30820 Alcantarilla, Murcia","+34 868 95 20 01","","","4.8","25","clinicas dentales","Alcantarilla","ChIJH4obmgeAZA0RiydHPDvGclM"
"Clínica Dental Salzillo","C. Gran Capitán, 26, Bajo, 30820 Alcantarilla, Murcia","+34 968 89 46 90","http://www.clinicadentalsalzillo.com/","","4.7","24","clinicas dentales","Alcantarilla","ChIJu2sB-_5_ZA0RSLWFeB60iH8"
"Clínica Dental Liliana Ortiz","Cl. Mayor, 141, 30820 Alcantarilla, Murcia","+34 968 83 65 96","http://clinicadentalalcantarilla.es/","","4.2","42","clinicas dentales","Alcantarilla","ChIJ40_gNwGAZA0R_LwPVVZRarA"
"Clínica Dental Silvente Alcantarilla","C. Museo de la Huerta, 7, Bajo, 30820 Alcantarilla, Murcia","+34 655 37 69 10","","","5","8","clinicas dentales","Alcantarilla","ChIJbZQt9xh_ZA0RAXchZoGwIik"
"Clinica Dental Implantologika Dr. Frias","C. Estación de Lorca, nº 2, local 6, 30820 Alcantarilla, Murcia","+34 968 80 68 28","http://implantologika.com/","","4.8","45","clinicas dentales","Alcantarilla","ChIJZxMSewGAZA0R7jSS0fdRsK4"
"Clínica Dental Lourdes Cáceres Oviedo","Cl. Mayor, 249, bajo, 30820 Alcantarilla, Murcia","+34 968 89 14 98","","","5","2","clinicas dentales","Alcantarilla","ChIJkdUQxwWAZA0RfM7kLIyyaMg"
"CLÍNICA DENTAL ZAMORA & GÓMEZ","Cl. Mayor, 36, 30820 Alcantarilla, Murcia","+34 667 05 51 44","","","5","5","clinicas dentales","Alcantarilla","ChIJAdGJ5u-BYw0RDV9wQAjEMYo"
"CLINICA DENTAL Dr. Christopher J. Tomás - ALCANTARILLA","C. Moreno, 1, 1º-D, 30820 Alcantarilla, Murcia","+34 601 07 08 46","","","4","5","clinicas dentales","Alcantarilla","ChIJu_IjlP9_Yw0RogsAg8LHyDU"
"Clínica Ferrer","C. de la Cruz, 2, 30820 Alcantarilla, Murcia","+34 968 80 85 36","","","4.9","7","clinicas dentales","Alcantarilla","ChIJ97u2UQCAZA0RDEsrQVgXhoE"
"Clínica Dental Doctores Tomás Tapia y Ortiz Ortiz C.B.","Cl. Mayor, 176, 30820 Alcantarilla, Murcia","+34 968 80 77 95","","","0","0","clinicas dentales","Alcantarilla","ChIJq1IGsQaAZA0RUh_PgEipp0o"
"Isaac Fraile Camino","C. Tranvía, 2, 30820 Alcantarilla, Murcia","+34 968 80 83 61","","","5","3","clinicas dentales","Alcantarilla","ChIJE9bhVACAZA0RaV6I3pwYi7U"
"Murcia Dental","C. Pintor Pedro Cano, 1, Bajo F, 30820 Alcantarilla, Murcia","+34 968 89 52 83","https://murciadental.es/","","4.6","9","clinicas dentales","Alcantarilla","ChIJr18mHAZ_Yw0RIVAYZPkk5B8"
"Roco Abogados","Av. Alejandro Valverde, 104, 30007 Murcia","+34 644 52 46 07","https://rocoabogados.com/","","4.9","135","abogados","Murcia","ChIJIxZBSC6DYw0RiqqkBWXOVLE"
"ACC Legal Abogados | Despacho de Abogados en Murcia","C. Platería, 35, 2º D, 30001 Murcia","+34 675 96 24 29","https://www.acclegal.es/","","4.9","83","abogados","Murcia","ChIJeepOehuCYw0Rs3nFYIbezxo"
"MHM Abogados","Av. de los Pinos, 7, 30009 Murcia","+34 630 21 54 16","https://mhmabogados.es/","","5","298","abogados","Murcia","ChIJpfPMXk-BYw0R5tRFGJKC99M"
"Reinicio Legal | Ley de Segunda Oportunidad en Murcia, cancelación de deudas y concursos de acreedores","C. Junterones, 8, Entresuelo Izquierda, número 2, 30008 Murcia","+34 868 26 27 18","https://reiniciolegal.es/","","5","93","abogados","Murcia","ChIJKzCEN8aDYw0RkvVegUd5S3g"
"Francisco Idáñez abogado","C. Fernández Caballero, 1, Edificio Imperial, Entresuelo, 30001 Murcia","+34 670 32 55 63","http://xn--franciscoidaezabogado-nbc.es/","","5","161","abogados","Murcia","ChIJKxVIZ3eCYw0RIjYy6M0GduE"
"IGL abogados","Av. General Primo de Rivera, 10, Entlo. Dcha. 6, 30008 Murcia","+34 623 13 26 25","https://iglabogados.com/","","5","40","abogados","Murcia","ChIJ-TH4QtqDYw0RkeR4YP32ICQ"
"Cerezo Abogados","Pl. Mariano el Churra, 5, BAJO, 30007 Murcia","+34 606 77 87 96","https://cerezoabogados.com/","","5","158","abogados","Murcia","ChIJg1GYk3WDYw0RqYx_VNgWuNQ"
"Escámez Abogados","Av. de la Libertad, 8, 2 G, 30009 Murcia","+34 653 95 90 19","http://escamezabogados.es/","","4.9","85","abogados","Murcia","ChIJLTn3esqBYw0R5iy3LOQ9DgQ"
"Lexart Abogados","C. Auditorium, 1, bajo local comercial, 30008 Murcia","+34 624 06 82 11","https://lexartabogados.com/","","5","168","abogados","Murcia","ChIJow7nJ4KBYw0Riuk6Zn3Dy5c"
"Arte Jurídico Abogados","P.º Ramón Gaya, 4, bajo B, 30009 Murcia","+34 968 96 79 79","https://abogadomurcia.com/","","4.9","134","abogados","Murcia","ChIJawPMf4WBYw0RsiTmA8Rk15U"
"Villagaray Abogados","C. Cartagena, 5, 30002 Murcia","+34 722 56 93 99","https://www.villagarayabogados.com/","","4.6","95","abogados","Murcia","ChIJnyxrM8KDYw0RagOYslm675g"
"López Graña","C. Princesa, 9, bajo, 30002 Murcia","+34 968 22 29 99","https://lopezgrana.es/","","4.9","143","abogados","Murcia","ChIJVapHSwSCYw0RKGKzEBFG3nE"
"García Hernández Abogados","Pl. Circular, 13, Entresuelo D-2, 30008 Murcia","+34 644 78 92 84","https://www.garciahernandezabogados.com/","","4.9","51","abogados","Murcia","ChIJv-UuZpCyvQQRZ59vn79ZWf0"
"MBG Abogados","C. Pintor Pedro Flores, 19, 30011 Murcia","+34 638 59 09 12","http://mbgabogados.es/","","5","95","abogados","Murcia","ChIJD055YQiCYw0RdmdtzbnHvd8"
"María Cardona Abogada","C. San Antonio, n° 8, entresuelo F, 30001 Murcia","+34 637 32 53 82","https://abogadamariacardona.es/","","4.9","731","abogados","Murcia","ChIJEVDP4e-DYw0RSV8WMfXbaaE"
"Ginés Riquelme Abogado","C. Dr. Jose Tapia Sanz, 2, entresuelo, 30001 Murcia","+34 661 38 76 73","https://ginesriquelme.abogado/","","4.7","122","abogados","Murcia","ChIJY9eMfuGDYw0RziHW2pcUfoc"
"PAZ IBÁÑEZ MARTÍN -Ibañez Abogados-","Pl. de Santo Domingo, 17, 2º B, 30008 Murcia","+34 618 31 48 45","http://www.ibanezabogados.net/","","5","68","abogados","Murcia","ChIJTd7ivhuCYw0RQBcM8DU5pro"
"Gambín y Jiménez","C. Merced, 2, 1º, 30008 Murcia","+34 624 47 51 41","https://gambinyjimenez.com/","","5","112","abogados","Murcia","ChIJH3dmVg6DYw0RBIYS3at7Uq0"
"Pardo Geijo Abogados","C. San Leandro, 1, 30003 Murcia","+34 968 34 11 70","https://pardogeijo.com/","","4.9","64","abogados","Murcia","ChIJrazF5hGCYw0RaTc1kMxZzUU"
"Simarro & García Abogados","C. Portillo San Antonio, 6, 8ºA, 30005 Murcia","+34 968 73 35 10","https://simarroabogados.com/%3Futm_source%3Dgoogle%26utm_medium%3Dlocal%26utm_campaign%3Dgoogle_my_business","","4.6","142","abogados","Murcia","ChIJRSMGjo-DYw0R17aLpLNdNN0"
"Gestolex Abogados","C. Gral. Martín de la Carrera, 4, 30011 Murcia","+34 622 15 41 45","https://gestolex.es/abogados-de-extranjeria-en-murcia/","","5","126","abogados","Murcia","ChIJF_RR9u-DYw0RNG8zL-b_Pt8"
"MCT Abogados","Edificio Londres, C. Condes de Barcelona, 7, 30007 Murcia","+34 868 17 18 17","https://mctabogados.com/","","4.8","67","abogados","Murcia","ChIJCdap5SCCYw0Rj7PAoR_rptE"
"Luis Ferrer Abogado","C. Dr. Jose Tapia Sanz, 2, entresuelo, 30001 Murcia","+34 691 36 66 73","https://luisferrer.abogado/","","4.9","55","abogados","Murcia","ChIJE8MVIuuDYw0RPJkv8y3Y_Kk"
"Tu Abogado de Extranjería en Murcia","C. Sta. Ana, 1, 1ºB, 30008 Murcia","+34 615 27 41 62","https://www.tuabogadodeextranjeriaenmurcia.com/","","4.8","26","abogados","Murcia","ChIJQ6BamheDYw0Rdj1pYzPb91M"
"Flavia Sanches - Abogados de inmigración y nacionalidad española","Av. Juana Jugan, 26, 1º A - EDIFICIO, 30006 OMEGA, Murcia","+34 622 05 51 95","http://www.flaviasanchesabogados.com/","","5","173","abogados","OMEGA","ChIJeywYMB6CYw0R4AVKyLo9PZs"
"Yeves & Algar Despacho de Abogados, Divorcios, Penal, Herencias, Accidentes Trafico","C. Libertad, 20, 3º A, 30007 Santiago y Zaraíche, Murcia","+34 637 29 60 54","https://www.yevesalgarabogados.com/","","4.8","49","abogados","Santiago y Zaraíche","ChIJ_6-MJwyBYw0RElEv5sWjfMo"
"GVC Abogados","Pl. de la Fuensanta, 3, 6º B, 30008 Murcia","+34 968 24 10 25","https://www.gvcabogados.com/","","4.8","19","abogados","Murcia","ChIJlTENhB6CYw0R7NGxewTQapA"
"KB Abogados","Av. Río Segura, 2, Entlo.B, 30002 Murcia","+34 646 82 54 90","http://www.kbabogados.com/","","4.7","36","abogados","Murcia","ChIJDcX9_QSCYw0RQd768ZCxlhA"
"Martínez-Abarca Abogados","C. Almohajar, 1, 30002 Murcia","+34 968 21 14 16","http://www.martinezabarcaabogados.es/","","4.7","15","abogados","Murcia","ChIJyU_JraKDYw0RPxIWOoPdPRc"
"Abogados Laborda Monerri","C. Comuneros, 3, 30003 Murcia","+34 868 04 59 32","https://www.labordatorresabogados.com/","","4.6","21","abogados","Murcia","ChIJ5ShYOg6CYw0RVi1oJjF1TCc"
"Accidentalia","Plaza del, Pl. Dr. José María Aroca, 8, Local 2, 30009 Murcia","+34 677 37 99 68","https://accidentalia.es/abogados-indemnizacion-por-accidentes-trafico-murcia-y-espana/","","4.9","75","abogados","Murcia","ChIJ0xzeyOaBYw0RmZKzT5ZXqGA"
"Abogados Murcia Tráfico","Av. Don Juan de Borbon, 81, 1C, 30007 Murcia","+34 611 00 36 97","http://www.abogadosmurciatrafico.com/","","5","25","abogados","Murcia","ChIJSQv4JtSDYw0RGplkYZmmqaU"
"PMS Abogados","P.º Marqués de Corvera, 84, 30002 Murcia","+34 686 28 10 56","https://pmsabogados.com/","","4.8","45","abogados","Murcia","ChIJ591sJBSDYw0RZpcF3mqZvVE"
"MAZA Abogados","Gran Vía del Escultor Francisco Salzillo, 22, 1° C, 30004 Murcia","+34 968 00 72 18","http://www.mazaabogados.es/","","5","35","abogados","Murcia","ChIJrYyZ47GDYw0RLHJW2YZzhJc"
"Abogaex Abogados","C. Ceballos, 30003 Murcia","+34 664 37 98 78","https://abogaexabogados.es/","","4.9","30","abogados","Murcia","ChIJjSvsA0CDYw0Rxv_irt7v9wg"
"Segunda Oportunidad Murcia Abogados SLP","C. Portillo San Antonio, 6, 8A, 30005 Murcia","+34 685 33 80 40","https://segundaoportunidadmurcia.com/%3Futm_source%3Dgoogle%26utm_medium%3Dlocal%26utm_campaign%3Dgoogle_my_business","","4.9","15","abogados","Murcia","ChIJaduVsQ6DYw0RInklk7P7fFg"
"A. Vicente Abogados","Av. de la Justicia, 8, 4º E, 30011 Murcia","+34 611 95 41 34","https://avicenteabogados.com/","","5","13","abogados","Murcia","ChIJ_8-AlelDYw0RC9kp2KbdH_c"
"Egea Castro Abogados","avenida ciudad de la justicia edif. san raimundo peñafort, 6, 1L, 30011 Los Dolores, Murcia","+34 686 15 78 19","","","5","33","abogados","Los Dolores","ChIJk4hjAptjR28RnT_naUpAp84"
"Alcaraz Cano Abogados","C. San Antonio, 8, 30001 Murcia","+34 687 83 68 74","https://alcarazcano.es/","","5","25","abogados","Murcia","ChIJpdDauxqCYw0RfKjMN5snzPE"
"Zoraida Garre Abogados","","+34 620 83 00 34","https://zoraidagarreabogada.com/","","5","18","abogados","Murcia","ChIJ92PVhIdRdwgRo8MsC1MtzcA"
"Álvaro Prieto Abogado","Av. Don Juan de Borbon, 81, 30007 Murcia","+34 623 00 88 99","https://alvaroprieto.es/","","4.9","92","abogados","Murcia","ChIJYd-neq2DYw0RSuiuzZaDNNk"
"Abogado Juan Antonio Salmerón","C. San Lorenzo, 6, 2º, 30001 Murcia","+34 638 74 08 27","","","5","41","abogados","Murcia","ChIJZaJZOmODYw0Rp-DRcsTNY2o"
"Caballero Salinas Abogados","Rda. de Garay, 33, 4º 33, 30003 Murcia","+34 968 21 63 79","http://caballerosalinas.com/","","4.8","40","abogados","Murcia","ChIJJ_vd0RGCYw0RUPXGzmSjw6U"
"Zafra Abogados","Av. Lope de Vega, 12, Bajo A, 30011 Murcia","+34 968 96 60 82","http://zafraabogados.es/","","4.8","34","abogados","Murcia","ChIJrQTOlQuCYw0RQHDGYOCnuPg"
"Internacional de Abogados G.M, S.L","C. Platería, 44, 30001 Murcia","+34 968 21 22 95","","","5","60","abogados","Murcia","ChIJxeI-cRuCYw0RmhpSGjsl7yk"
"Mariano Bo & Pablo Martínez Abogados","Calle Vicente Aleixandre, 19 Esc.Izqda, 4ºA, Ed.Yakarta 2, 30011 Murcia","+34 968 93 31 10","http://www.mboabogados.es/","","4.7","50","abogados","Murcia","ChIJtRn2LQuCYw0RX8H5JoXdIgw"
"Abogado Juan José Bravo-Villasante","Complejo Princesa, Av. de la Libertad, 6, bloque I, entresuelo Dcha. letra C, 30009 Murcia","+34 968 20 47 47","https://abogadoaccidentesmurcia.es/","","5","71","abogados","Murcia","ChIJkWBE9R2CYw0Rxjg5tK-vsKc"
"Despacho Calero - Abogados","Gran Vía del Escultor Francisco Salzillo, 8, 30004 Murcia","+34 968 34 71 19","https://despachocalero.com/","","4.8","12","abogados","Murcia","ChIJL4qywByCYw0R-JtNGAY5YWk"
"SIMÓ Abogados Penalistas","Av. del Rocío, 16, 6º D, 30007 Puente Tocinos, Murcia","+34 660 86 00 67","https://www.simoabogados.com/penalistas-murcia","","5","56","abogados","Puente Tocinos","ChIJzTFSPSCDYw0RweLOxpKObVs"
"SANMARTIN ABOGADOS","C. Sánchez Madrigal, 8, 3ºC, 30004 Murcia","+34 692 60 36 90","http://murcia.abogados-sanmartin.com/%3Fq%3Dcontacto","","4.8","5","abogados","Murcia","ChIJq6q-fBuCYw0R4f8SIGt7xJk"
"Piñana","Cjón. San Esteban, 1, 30201 Cartagena, Murcia","+34 696 54 36 88","http://www.xn--abogadospiana-rkb.es/","","4.9","96","abogados","Cartagena","ChIJOcUzQCZCYw0RY5Dx54SF_mA"
"Carlos Hernández Pando","C. Jiménez de la Espada, 47, 30204 Cartagena, Murcia","+34 968 50 27 91","http://hcabogados.es/","","5","324","abogados","Cartagena","ChIJs0PEzCZCYw0RixHt8Lb7xFg"
"Hernández y Carrasco Abogados","C. Jiménez de la Espada, 47, 1º Drcha, 30204 Cartagena, Murcia","+34 968 50 27 91","https://hcabogados.es/","","5","309","abogados","Cartagena","ChIJ25zivYRDYw0R5O3O-D2JM0g"
"Abogado de extranjería Manuel Ruiz","C. Turquesa, 35, 30310 Cartagena, Murcia","+34 613 93 36 56","http://www.asesoriadeextranjeriaencartagena.es/","","5","149","abogados","Cartagena","ChIJcTYs18xDYw0RpogLSifGadE"
"Abogado Miguel Angel Victoria Ros","C. Campos, 3, 3ºA, 30201 Cartagena, Murcia","+34 605 21 59 49","","","5","260","abogados","Cartagena","ChIJ06awvspDYw0RHs_dnkutGjU"
"Solicitup Abogados- Jesús Bernadic","C. Juan Fernandez, 16, Despacho 3, 30204 Cartagena, Murcia","+34 644 52 07 89","https://solicitup.com/","","4.9","123","abogados","Cartagena","ChIJh-QOgvBDYw0R1H56odGH8Rc"
"Técnicas Legales","Alameda de San Antón, n° 7, 5° A, 30205 Cartagena, Murcia","+34 679 15 40 09","http://www.tecnicaslegales.com/","","5","42","abogados","Cartagena","ChIJA4X5WDtCYw0RGAAUh0yzJvM"
"Berruezo Abogados","C. Jiménez de la Espada, 10, Entresuelo B, 30204 Cartagena, Murcia","+34 968 07 57 25","https://berruezoabogados.com/","","4.6","76","abogados","Cartagena","ChIJp35Vx5EVYw0RGIoaAkDvLb4"
"CA Abogados","Ed. España, C. Carmen, 59, Planta 2, Letra B, 30201 Cartagena, Murcia","+34 654 44 48 35","http://www.caabogados.es/","","5","4","abogados","Cartagena","ChIJEwOzmCVCYw0RL20lDRT2ZO8"
"Ortega Díez Abogados","Calle Ángel Bruna, 19, 30204 Cartagena, Murcia","+34 699 61 41 99","http://www.ortegadiezabogados.com/","","4.5","73","abogados","Cartagena","ChIJ1YXg44JDYw0RmCr_bJ9se90"
"José Antonio Murcia Casas","C. Tierno Galván, 17, entresuelo izquierda, 30203 Cartagena, Murcia","+34 639 98 28 50","http://www.murciacasas-abogado.com/","","4.5","10","abogados","Cartagena","ChIJyTQaNSdCYw0RsUEtIN0zFMw"
"CJM Abogados","Calle Pintor Balaca, 15 Bajo - Despacho 1, 30204 Cartagena, Murcia","+34 629 08 86 54","","","5","18","abogados","Cartagena","ChIJT6OQzyVCYw0RR8x-xidOMYA"
"García Ramírez Abogados","C. Trafalgar, 1, 30205 Cartagena, Murcia","+34 968 08 48 48","http://www.garciaramirezabogados.com/","","4.8","38","abogados","Cartagena","ChIJ68uNZT1CYw0RJBxTnwEtfiw"
"Pérez Bódalo Abogados - Servicios Jurídicos","","","http://www.perezbodalo.es/","","4.8","26","abogados","Cartagena","ChIJGZDAkihCYw0R4lbcSAb3pRo"
"Pérez Pardo Abogados","Pl. Castellini, 12, 2ºB, 30201 Cartagena, Murcia","+34 968 52 06 28","","","4.9","14","abogados","Cartagena","ChIJP6TJXy9CYw0R-Vcq9KPUiyc"
"Ignacio Hernández Piñana Abogados","Cjón. San Esteban, 1, 1-A, 30201 Cartagena, Murcia","+34 611 55 86 71","https://sites.google.com/view/hernandezpinanaabogados/inicio","","5","35","abogados","Cartagena","ChIJH2PtM8PYdQ8R9sWIvi7anfE"
"Ayala Abogados SLP","C. Mayor, 27, 5º, 30201 Cartagena, Murcia","+34 968 12 46 14","http://www.ayalaabogados.es/","","5","11","abogados","Cartagena","ChIJYZZ81HFAYw0Rfupn0EwHFPQ"
"Ignacio Moreno Sánchez Abogado","C. Tierno Galván, 17, entresuelo izquierda, 30203 Cartagena, Murcia","+34 652 59 70 75","https://www.morenosanchez-abogadocartagena.com/","","5","7","abogados","Cartagena","ChIJefNo45xDYw0RSlW0XPkTmzY"
"Iria Belles Abogados","C. Carmen, 59, 2ºB, 30201 Cartagena, Murcia","+34 611 70 05 78","","","4.9","23","abogados","Cartagena","ChIJp7fqjCGDYw0R4ZpP901jHGk"
"Domingo Núñez y asociados","P.º del Muelle, 41, 30202 Cartagena, Murcia","+34 968 50 94 92","http://www.xn--nuezabogados-bhb.es/","","4.7","24","abogados","Cartagena","ChIJx91b8oRBYw0ROTUMXe3JkCY"
"Bufete Blanco Abogados","Pl. del Rey, 2, 30201 Cartagena, Murcia","+34 968 52 67 68","https://www.bufeteblancoabogadoscartagena.com/","","4.9","17","abogados","Cartagena","ChIJV88xKS9CYw0RACpAnPC-QUo"
"Azofra","C. Conducto, 2, 30201 Cartagena, Murcia","+34 968 50 02 38","http://www.azofrabogados.es/","","4.7","11","abogados","Cartagena","ChIJhbTdiSVCYw0RpNdedGncKJ8"
"García Gil Abogados","C. Mayor, 10, 1A, 30201 Cartagena, Murcia","+34 968 14 89 80","https://www.garciagilabogados.es/","","4.8","23","abogados","Cartagena","ChIJGfmPtihCYw0R-Xh_6KrYjQ4"
"Casado Mena Abogados SLPU","C. Bucarest, 105, 30353 Cartagena, Murcia","+34 676 68 55 51","http://www.casadomenaabogados.es/","","4.6","29","abogados","Cartagena","ChIJl_3hbcVBYw0RkwB3eAETOns"
"Negroles Abogados","C. Cañizares, 60, 30300 Cartagena, Murcia","+34 968 53 63 82","https://www.negrolesabogados.com/","","4.7","35","abogados","Cartagena","ChIJY_oYf79CYw0Rcgse8Rkjj3Y"
"PAB Abogados","Edificio Gran Hotel, C. Jara, nº 31, 30201 Cartagena, Murcia","+34 693 50 68 89","http://www.pabextranjeria.com/","","4.8","26","abogados","Cartagena","ChIJMwM6tChCYw0RrlPJbNMKUSA"
"Pablo Gómez Asociados","Pl. Castellini, 9, 30201 Cartagena, Murcia","+34 968 08 90 40","","","5","8","abogados","Cartagena","ChIJpUVoYC9CYw0RF21ZCobRHRQ"
"Abogadas Cartagena","Ctra. Cartagena, 42, 30366 El Algar, Murcia","+34 968 13 56 97","https://www.abogadascartagena.com/","","5","26","abogados","El Algar","ChIJfYXuCdkVYw0RMVvOgUkWitk"
"María José Paredes Hernandez","C. Mercader, 19, bajo, 30300 Cartagena, Murcia","+34 676 98 51 85","","","4.8","20","abogados","Cartagena","ChIJuXyBm1pDYw0RxEzJajBLY8I"
"ABOGADOS TORRECILLAS Mª Isabel Torrecillas Gámez","Calle Ángel Bruna, 40, 2 B, 30203 Cartagena, Murcia","+34 619 44 71 08","","","5","12","abogados","Cartagena","ChIJ95zvZndDYw0Rdexo4DtuS4w"
"Accidentis.es - Indemnizaciones de Tráfico","Pl. Juan XXIII, PORTAL 3, 5 PISO, PUERTA 6, CP 30201, 30201 Cartagena, Murcia","+34 685 38 09 62","https://www.accidentis.es/","","4.9","88","abogados","Cartagena","ChIJtYi1fsRoXKoRz0m3ODxIWdA"
"Galán Juan Abogados SLP","Pl. Castellini, 12, 4 A-B, 30201 Cartagena, Murcia","+34 968 84 93 21","http://www.galanjuan.com/","","4.8","21","abogados","Cartagena","ChIJu99d6ExDYw0RIktSFOy-Vnk"
"Felix Perez Gonzalez","P.º del Muelle, 41, 1ºH, 30202 Cartagena, Murcia","+34 662 26 47 33","http://www.felixperezgonzalez.es/","","5","25","abogados","Cartagena","ChIJBXeL6pxBYw0R2IW11bIkvfU"
"Isabel Díez Abogada de familia","Calle Ángel Bruna, 19, 30203 Cartagena, Murcia","+34 616 99 51 01","http://www.abogadoscartagenamurcia.com/","","4.4","33","abogados","Cartagena","ChIJSwm5xmWDYw0R6f9Fc956dME"
"Carlos González Marín","Pl. Gral. López Pinto, 2, 30201 Cartagena, Murcia","+34 968 50 41 50","https://carlosgonzalezmarin.com/","","4.9","32","abogados","Cartagena","ChIJ93HwTyZCYw0RIsa5wgpNANE"
"Herce Abogados","C. Pintor Balaca, 15, 30201 Cartagena, Murcia","+34 623 22 95 30","http://herceabogadosmilitares.es/","","5","16","abogados","Cartagena","ChIJtYvKPGFDYw0RG1LzxBQ0iiQ"
"Alianza Abogados","Pl. Juan XXIII, 7, 1º, 30201 Cartagena, Murcia","+34 968 12 29 96","https://www.alianzaabogadosmurcia.es/","","4.1","25","abogados","Cartagena","ChIJscv8tyVCYw0RT043Qh9xuBs"
"Abogados Gran Hotel","C. Jara, 31, Sexto A, 30201 Cartagena, Murcia","+34 968 52 47 07","http://www.granhotelabogados.com/","","5","1","abogados","Cartagena","ChIJP0NIh11DYw0R5Pysl910mJY"
"LEXRED Abogados","Alameda de San Antón, 7, 30204 Cartagena, Murcia","+34 606 79 48 36","https://www.facebook.com/lexredabogados/","","4.7","3","abogados","Cartagena","ChIJh2ZeZiFCYw0RPkSh9SY96sA"
"Anaya Abogados","C. Sta. Florentina, 6, 1º Izq, 30201 Cartagena, Murcia","+34 868 12 46 68","http://www.ancoabogados.com/","","4.5","11","abogados","Cartagena","ChIJrUFhG6JDYw0RT_oKClj3ALc"
"Madrid Abogados","C. Mayor, 33, 2ºE, 30201 Cartagena, Murcia","+34 968 12 21 22","http://www.madridabogadoscartagena.com/","","4.5","8","abogados","Cartagena","ChIJj_9LNS9CYw0Rpgkt9TTp2yI"
"Cristian Alberto Martínez García","Calle Carmen, 59, Edificio España, 2°B, 30201 Cartagena, Murcia","+34 654 44 48 35","http://www.caabogados.es/","","5","1","abogados","Cartagena","ChIJ1SRSnyVCYw0RJ75iUQMrG_w"
"Wasowicz","C. Príncipe de Vergara, 2, 30202 Cartagena, Murcia","+34 968 08 96 86","http://wasowiczabogados.com/","","3.8","24","abogados","Cartagena","ChIJQ4KbGSlCYw0R7I3hve_pr7A"
"Carmen Franco","Calle Ángel Bruna, 12, 30201 Cartagena, Murcia","+34 968 90 04 62","http://www.carmenfranco.es/","","4.4","13","abogados","Cartagena","ChIJx4uv5iZCYw0RXHgOgWPg-KI"
"Ana Belén Ruipérez Martín","Pl. del Rey, 8, 6º, 30201 Cartagena, Murcia","+34 968 52 05 75","","","4.4","7","abogados","Cartagena","ChIJmyFZNEtDYw0RVI-lJabt6tM"
"Elena Mendoza Candela ABOGADA","Edificio Tárraga, C. Palas, n° 12, 2°D, 30202 Cartagena, Murcia","+34 679 50 65 09","https://elenamendozacandelaabogada.es/","","5","10","abogados","Cartagena","ChIJjVILAtA_Yw0RCAt-G-ecXJw"
"Asesores Cegarra - Abogado Despidos Cartagena","junto a Hotel, P.º Alfonso XIII, 38 - 1º, 30203 Cartagena, Murcia","+34 968 12 23 66","https://www.asesorescegarra.es/","","4.5","16","abogados","Cartagena","ChIJ-wzKlYlBYw0RK2mujor1sNs"
"ABOGADO CARTAGENERO","C. Alcalde Amancio Muñoz, 58, 30203 Cartagena, Murcia","+34 696 21 57 34","","","5","2","abogados","Cartagena","ChIJSybCFVBBYw0RvlDcMgWPmog"
"José Jorge Cantador Company","C. San Fernando, nº 76, 2º d, 30201 Cartagena, Murcia","+34 968 52 81 53","http://cantadorabogados.com/","","4.9","10","abogados","Cartagena","ChIJb1dtQ8lDYw0RyksNsAX9bRg"
