Nombre,Email,Teléfono,Web,Dirección,Categoría,Ubicación,Rating,Reviews
"The Burger Shop","","+34 682 33 67 74","https://www.facebook.com/TheBurgerShopMurcia/","C. Periodista Nicolás Ortega Pagán, 2, 30003 Murcia, España","hamburgueserías","Murcia",4.4,1371
"Goiko","","+34 868 28 99 34","http://www.goiko.com/","Gran Vía Alfonso X el Sabio, 7, 30008 Murcia, España","hamburgueserías","Murcia",4.4,6803
"Magra","","+34 622 35 48 59","","Av. Juan Carlos I, 30009 Murcia, España","hamburgueserías","Murcia",4.9,125
"Dinamita Burger Bar","info@dinamitaburgerbar.com","+34 968 43 81 29","http://www.dinamitaburgerbar.com/","Ctra. de Churra, 72, 30007 Santiago y Zaraíche, Murcia, España","hamburgueserías","Murcia",4.8,1305
"Psiqué","","+34 601 05 06 68","https://www.psique.net/","P.º Científico Gabriel Císcar, 20, Bajo 3, 30007 Murcia, España","psicólogos","Murcia",4.9,147
"Centro de Psicología Pepa Fernández","info@pepafernandezpsicologa.es","+34 661 58 67 21","https://pepafernandezpsicologa.es/","Av. Príncipe de Asturias, 34, Bajo B, 30007 Santiago y Zaraíche, Murcia, España","psicólogos","Murcia",5,110
"MURCIA TERAPIA","murciaterapia@murciaterapia.es","+34 686 90 59 33","https://murciaterapia.es/","C. San Rafael, 3, Bajo C, 30007 Murcia, España","psicólogos","Murcia",5,55
"Psicólogo Murcia Antonio Viñao, Consulta de psicología en Murcia","","+34 675 13 66 69","http://www.psicologomurcia-antoniovinao.com/","C. González Adalid, Nº13, piso 3º, puerta 6, 30001 Murcia, España","psicólogos","Murcia",5,25
"Circo Burger","","+34 611 09 14 08","http://circorestaurante.com/","C. Apóstoles, 10, 30001 Murcia, España","hamburgueserías","Murcia",4.4,1234
"Nukka Gastro Beer - Hamburguesería & Cervecería","","+34 621 36 93 68","https://restaurantenukka.com/","C. Sta. Teresa, 17, Bajo, 30005 Murcia, España","hamburgueserías","Murcia",4.8,1264
"Elisa Sánchez Psicóloga","elisasanchezpsicologa@gmail.com","+34 600 31 27 32","https://elisasanchezpsicologa.es/","C. González Adalid, 13, 3o, 30001 Murcia, España","psicólogos","Murcia",5,14
"Mostacho Murcia Burguer Bar","","+34 968 23 54 92","https://www.facebook.com/mostachomurcia/?epa=SEARCH_BOX","C. Teniente Gral. Gutierrez Mellado, 9, 30008 Murcia, España","hamburgueserías","Murcia",4.5,1497
"Dra. Nieves Martínez-Hidalgo","psicologa@nievesmhidalgo.com","+34 676 02 27 66","https://nievesmhidalgo.com/","C. Trapería, 6, 1ºB, 30001 Murcia, España","psicólogos","Murcia",4.8,71
"Tokio Burger","","+34 654 19 02 80","https://www.tokioburgers.com/","C. Azucaque, 6, 30001 Murcia, España","hamburgueserías","Murcia",4.6,442
"Clara Ortiz - Psicóloga en Murcia","hola@claraortizpsicologa.com","+34 658 67 29 19","https://www.claraortizpsicologa.com/","Gabinete de Psicología Atalayas, C. de Molina de Segura, 5, 3ºB, 30007 Murcia, España","psicólogos","Murcia",4.9,19
"Vacania Burger","","+34 644 19 03 37","https://vacaniaburger.com/","Av Reyes Católicos' 117. Las Torres de Cotillas 3565, Av. Reyes Católicos, 117, Local 1, 30565 Murcia, España","hamburgueserías","Murcia",4.7,960
"Los Pepes Burger Zigzag","","+34 624 24 26 63","https://lospepesburger.es/","Av. Juan Carlos I, 1, 30008 Murcia, España","hamburgueserías","Murcia",4.5,292
"Black Label Urban Grill","","+34 968 21 42 75","","Pl. de Sta. Isabel, 6, 30004 Murcia, España","hamburgueserías","Murcia",4.5,1094
"Raquel Sastre Psicóloga","raquel_sastre@hotmail.com","+34 639 12 06 40","http://www.raquelsastrepsicologa.es/","C. Andrés Baquero, 9, 4° B, 30001 Murcia, España","psicólogos","Murcia",5,49
"Freak Burguer International","","+34 968 92 31 42","http://www.fbimurcia.com/","C. Periodista Encarna Sánchez, 10, 30007 Murcia, España","hamburgueserías","Murcia",4.4,1383
"Rolfo Tapas & Burger - El Ranero (Murcia)","","+34 613 33 22 32","https://rolfoburger.com/","C. Jose Manuel Sanchez Pedreño, 1, Local 3. Edificio Plazarte, 30009 Murcia, España","hamburgueserías","Murcia",4.5,384
"Aires burger bar","","+34 968 82 86 27","https://airesburgerbar.com/murcia-merced/","C. Merced, 14, 30001 Murcia, España","hamburgueserías","Murcia",4.3,487
"The Risky Burguer","contacto@riskyburger.com","+34 868 05 47 77","https://riskyburger.com/","Av. Libertad, 6, 30012 San Benito - Progreso, Murcia, España","hamburgueserías","Murcia",4.8,249
"Psicólogos Murcia. Araceli González.","contacto@araceligonzalezpsicologa.com","+34 687 44 20 81","https://www.araceligonzalezpsicologa.com/","C. San Patricio, 10, 3ªD, 30004 Murcia, España","psicólogos","Murcia",5,122
"Restaurante Asador Puerta de Murcia","","+34 968 27 73 05","/url?q=https://www.puertademurciarestaurante.es/&opi=79508299&sa=U&ved=0ahUKEwjG6Jmy9amRAxXxM0QIHTzpBeoQ61gIPigR&usg=AOvVaw14N7NeTfE-kqujtX9D6G18","Av. Río Madera, 30110 Churra, Murcia, España","asadores","Murcia",4.2,3130
"La Brasería de Carlos","","+34 673 42 71 13","","Pl. San Julián, 9, 30004 Murcia, España","asadores","Murcia",4.4,536
"La Pilar Asador","","+34 868 70 80 06","","C. Pascual, 12, 30004 Murcia, España","asadores","Murcia",4.2,309
"Tapa y Brasa","","+34 661 39 69 63","","C. Pintor Salvador Dalí, 2, 30007 Murcia, España","asadores","Murcia",4,909
"Asador Las Curicas y parque de bolas","","+34 968 96 75 75","/url?q=https://uqr.to/162fd&opi=79508299&sa=U&ved=0ahUKEwjG6Jmy9amRAxXxM0QIHTzpBeoQ61gI6wEoEQ&usg=AOvVaw3PAc1aP1Ugbb5GOFbgouF-","Av. Juan Carlos I, 74, 30007 El Puntal, Murcia, España","asadores","Murcia",4.1,857
"Proalma Psicología","proalmapsicologia@gmail.com","+34 621 25 66 35","http://www.proalmapsicologia.es/","Calle Serrano Alcázar, 2, 1ºB, 30001 Murcia, España","psicólogos","Murcia",5,101
"Clínica Moreno - Psicólogos","","+34 686 41 41 30","https://www.clinicamoreno.com/","Av. Juan Pablo II, 17, 1C Escalera 1, 30007 Santiago y Zaraíche, Murcia, España","psicólogos","Murcia",4.6,158
"Psicologa Aliety Fernández","alietyrep1971@gmail.com","+34 678 67 94 91","http://www.alietypsicologa.es/","C. Vinader, 9, 3º D, 30004 Murcia, España","psicólogos","Murcia",5,45
"MindUp","info@mindup-psicologos.es","+34 868 24 08 67","https://mindup-psicologos.es/","C. Portillo San Antonio, 6, 30005 Murcia, España","psicólogos","Murcia",5,111
"Abrasador Cánovas","","+34 968 23 51 53","/url?q=https://abrasador.com/restaurantes/abrasador-canovas/&opi=79508299&sa=U&ved=0ahUKEwjG6Jmy9amRAxXxM0QIHTzpBeoQ61gIpwIoEQ&usg=AOvVaw1I9Bc3ke3sZri4sEM58JPB","C. Angeles, 3, 30007 Casillas, Murcia, España","asadores","Murcia",4.4,1202
"Restaurante El Huerto del Badén","","+34 968 26 12 33","","Cam. del Badén, 78, 30010 Murcia, España","asadores","Murcia",4.3,1529
"Las Brasas de las Tascas","","+34 659 14 64 96","/url?q=https://lasbrasasdelastascasmurcia.com/&opi=79508299&sa=U&ved=0ahUKEwjG6Jmy9amRAxXxM0QIHTzpBeoQ61gIwgMoDw&usg=AOvVaw3PfRupXTytaL_pGQ-O5tQO","Pl. Balsas, 2, 30001 Murcia, España","asadores","Murcia",4.2,926
"Fumata Negra Asador Argentino","","+34 625 46 90 29","","Carril Torre Leales, 47, 30011 Murcia, España","asadores","Murcia",4.4,285
"Restaurante El Cañal Los Almillas","","+34 968 25 14 05","","Cam. Los Partidores, 106, 30152 Aljucer, Murcia, España","asadores","Murcia",4.3,1886
"Clínica Unitas - Psicología, Psiquiatría y Nutrición","","+34 744 65 32 52","http://www.clinicaunitas.com/","C. Pintor Villacis, 4, Entresuelo 2, 30003 Murcia, España","psicólogos","Murcia",5,57
"Asador Mendoza Murcia","","+34 868 78 78 40","/url?q=https://www.asadormendozamurcia.es/&opi=79508299&sa=U&ved=0ahUKEwjG6Jmy9amRAxXxM0QIHTzpBeoQ61gIgAUoDw&usg=AOvVaw01AxBzBlliofZnyMYUPVPZ","Tr.ª Cabezo de Torres, 30163 Murcia, España","asadores","Murcia",4.3,31
"La Estancia Gastrohome","","+34 868 13 08 72","/url?q=http://www.laestanciagastrohome.es/&opi=79508299&sa=U&ved=0ahUKEwjG6Jmy9amRAxXxM0QIHTzpBeoQ61gIpQUoEQ&usg=AOvVaw1PVypms4038e7oM236SjjE","C. Azarbe del Papel, 7, 30007 Santiago y Zaraíche, Murcia, España","asadores","Murcia",4.5,366
"Centro Psicológico ""Gran Vía""","psicologosgranvia@gmail.com","+34 649 82 83 18","http://www.psicologosgranvia.com/","C. Apóstoles, 10, 3º B, 30001 Murcia, España","psicólogos","Murcia",4.9,68
"Restaurante El Molinero","","+34 968 29 71 48","/url?q=http://www.r-elmolinero.com/&opi=79508299&sa=U&ved=0ahUKEwjG6Jmy9amRAxXxM0QIHTzpBeoQ61gI1AUoDw&usg=AOvVaw2ZhH8fZlgjefkXgGPuoQdh","C. Alcalde Garcia Sanchez, 4, 30009 Murcia, España","asadores","Murcia",4.4,3721
"CENTRO ALMA - ANA PEINADO","","+34 633 08 14 24","https://centroalma.anapeinado.es/","P.º Pedáneo José Marín Serna, 25, 30010 Murcia, España","psicólogos","Murcia",5,27
"Restaurante El Pencho","","+34 606 73 23 41","/url?q=https://restauranteelpencho.com/&opi=79508299&sa=U&ved=0ahUKEwjG6Jmy9amRAxXxM0QIHTzpBeoQ61gIiwYoDw&usg=AOvVaw0or3rHeaObROm7_qCIoNwI","Carril Penchos, 77, 30009 Murcia, España","asadores","Murcia",4.1,1952
"Muchachicha","","+34 968 31 34 12","/url?q=https://muchachicha.es/%3Futm_source%3DGMB%26utm_medium%3DWEB&opi=79508299&sa=U&ved=0ahUKEwjG6Jmy9amRAxXxM0QIHTzpBeoQ61gIrwYoDw&usg=AOvVaw2j-sieSUoetv82m-gxDRHM","C. Frenería, 10, 30004 Murcia, España","asadores","Murcia",4.6,424
"Aranda-Séiquer","","+34 968 06 09 02","https://www.arandaseiquer.es/","Gran Vía del Escultor Francisco Salzillo, n°6, Piso 2°D, 30004 Murcia, España","psicólogos","Murcia",5,70
"Maribel Sánchez. Psicóloga y psicoanalista","","+34 637 71 18 77","http://www.mspsicologamurcia.es/","C. González Adalid, 13, 1º Izq., Puerta 1, 30001 Murcia, España","psicólogos","Murcia",4.5,41
"Asadero Rosarito","","+34 968 20 22 79","/url?q=https://www.asaderorosarito.com/&opi=79508299&sa=U&ved=0ahUKEwjG6Jmy9amRAxXxM0QIHTzpBeoQ61gI2QYoDw&usg=AOvVaw2DQrVdb_q1vJ3JMr-sXtJ4","Av. Don Juan de Borbon, 6, 30008 Murcia, España","asadores","Murcia",4.2,1207
"Psiro: Centro de Psicología","","+34 644 54 70 07","http://psiro.es/","C. de Molina de Segura, 5, bloque 3, 3ºb, 30007 Murcia, España","psicólogos","Murcia",5,3
"PSICÓLOGO ARMANDO GALIÁN","","+34 661 23 52 80","http://www.psicologiagalian.com/","Junto Hotel Rincón de Pepe, C. Apóstoles, 26, Entresuelo A, 30001 Murcia, España","psicólogos","Murcia",5,11
"Restaurante Mesón La Torre","","+34 968 30 15 61","/url?q=http://www.restauranteslatorre.com/&opi=79508299&sa=U&ved=0ahUKEwjG6Jmy9amRAxXxM0QIHTzpBeoQ61gIgAcoEQ&usg=AOvVaw3cTJKe_DOYQlpZpBITF1wp","Carril de la Torre, 52, 30006 Puente Tocinos, Murcia, España","asadores","Murcia",4.1,2682
"El asador","","+34 968 87 58 69","","Rda. de Garay, 17, 30003 Murcia, España","asadores","Murcia",4.6,14
"Restaurante Marisqueria Estrella de Mar","","+34 968 90 70 26","https://marisqueriamurcia.com/","Av. San Juan de la Cruz, 7, 30011 Murcia, España","marisquerías","Murcia",4.3,575
"Marisquería Los Pollos","","+34 968 25 66 79","https://www.facebook.com/MarisqueriaLosPollos/?ti=as","C. Mayor, 51, 30011 Murcia, España","marisquerías","Murcia",4.6,279
"Virgen del Mar","","+34 968 21 66 79","http://restaurantevirgendelmar.com/","Pl. de San Nicolás, 3, bajo, 30005 Murcia, España","marisquerías","Murcia",4.5,483
"Restaurante El Amarre Murcia","","+34 968 20 93 10","https://elamarremurcia.com/","Pl. Mayor, 1, 30005 Murcia, España","marisquerías","Murcia",4.3,1176
"Gran Rhin","","+34 652 16 54 01","https://www.facebook.com/Restaurante-Gran-Rhin-111709540210282/","Pl. de San Pedro, 5, 30004 Murcia, España","marisquerías","Murcia",4,516
"Don Gómez III, S.L.","","+34 968 20 27 80","","30007 Murcia, España","marisquerías","Murcia",4.1,671
"Restaurante Pepe El Torrao","","+34 968 29 10 08","https://pepeeltorrao.es/","Ronda Norte, 6, 30009 Murcia, España","marisquerías","Murcia",4.4,884
"La Barra de Pepe el Torrao bar de tapas","","+34 968 21 94 95","https://restaurantelabarradeltorrao.com/","C. Cronista Carlos Valcárcel, 1, 30008 Murcia, España","marisquerías","Murcia",4.6,1683
"La Barra de Morata","","+34 692 04 66 49","","C. San Juan de Dios, 5, 30001 Murcia, España","marisquerías","Murcia",4.3,232
"El Guiti","","+34 968 37 94 48","https://www.facebook.com/El-Guiti-Hijos-110157330697002/","C. Francisco José Vicente Ortega, 7, 30580 Alquerías, Murcia, España","marisquerías","Murcia",4.7,1196
"Mesón de zona 3","","+34 665 66 55 84","","Ctra. Era Alta, Nº2, 30166 Nonduermas, Murcia, España","marisquerías","Murcia",4,1705
"Cervecería el Púlpito","","+34 968 21 39 65","https://elpulpitorestaurantes.com/","C. Pascual, 16, 30004 Murcia, España","marisquerías","Murcia",3.6,952
"Marisqueria Romero","","","","Av. de la Fama, 52, 30006 Murcia, España","marisquerías","Murcia",3.7,3
"MISO RESTAURANTE BUFFET ASIÁTICO MURCIA","","+34 968 40 47 96","","C. Vara de Rey, 9, 30001 Murcia, España","sushi","Murcia",4.9,120
"Wakamono","","+34 691 07 64 38","https://wakamonosushi.es/","C. Radio Murcia, 2, 30001 Murcia, España","sushi","Murcia",4.8,833
"Dr. José Miguel Rubio Pérez, Dietista-Nutricionista","soporte@doctoralia.com","+34 644 60 49 90","https://www.doctoralia.es/jose-miguel-rubio-perez/dietista-nutricionista/murcia?utm_source=google&utm_medium=gmb&utm_campaign=122394&utm_content=website","C. San Patricio, 10, 2ª Planta, nº 4, 30004 Murcia, España","nutricionistas","Murcia",4.9,95
"NuMurcia Atalayas | Dietistas y Nutricionistas en Murcia","","+34 613 05 24 27","https://numurcia.com/","C. de Molina de Segura, 5, 30007 Puente Tocinos, Murcia, España","nutricionistas","Murcia",5,336
"María García Nutricionista","","+34 667 90 95 60","http://mariagarcianutricionista.es/","C. Vista Alegre, 23, 30007 Murcia, España","nutricionistas","Murcia",4.9,53
"Dra. Martínez Bautista Centro Médico de Nutrición y Obesidad, Nutricionista en Murcia","doctoramartinezbautista@yahoo.es","+34 968 22 14 40","https://www.doctoramartinezbautista.es/","Av. General Primo de Rivera, 1, 30008 Murcia, España","nutricionistas","Murcia",4.8,20
"Ana Isabel Gabaldón Dietista-Nutricionista Murcia","","+34 676 13 87 50","https://www.facebook.com/anabelnutricion/?ti=as","C. Infanta Cristina, 17, 30007 Murcia, España","nutricionistas","Murcia",5,16
"Arias Abellán Nutrición","","+34 633 72 73 01","http://comeyentrena.com/","Calle Nueva de San Antón, Ronda Norte, 29, 2b, 30009 Murcia, España","nutricionistas","Murcia",5,265
"Nutrición con Raíz - NUTRICIONISTAS MURCIA","","+34 624 22 02 57","https://consultorio.me/pro/cita-con-raiz","Ctra. de Churra, 96, 30007 Murcia, España","nutricionistas","Murcia",5,106
"Adriana Guastella | Psiconutrición y Conducta Alimentaria","%20hola@adrianaguastella.com","+34 675 37 78 91","http://www.adrianaguastella.com/","Av. Don Juan de Borbon, 81, 30007 Churra, Murcia, España","nutricionistas","Murcia",4.9,64
"Nusade","info@nusade.comS","+34 968 82 20 15","https://www.nusade.com/","P.º Joaquín Garrigues Walker, 11, 30007 El Puntal, Murcia, España","nutricionistas","Murcia",4.9,115
"Rita Cava Roda. Dietista nutricionista, dra. en nutrición y tecnología de alimentos","","+34 613 35 60 68","https://www.nutricionymetabolismo.com/","Clinica Kiré, Av. Don Juan de Borbon, 98, Esc,1ª, Bajo, 30007 Santiago y Zaraíche, Murcia, España","nutricionistas","Murcia",5,13
"Plan Mediterráneo - Nutrición Y Estética","info@planmediterraneo.com","+34 968 71 22 37","https://www.planmediterraneo.com/","C. José Antonio Ponzoa, 3, 30001 Murcia, España","nutricionistas","Murcia",5,39
"Dietista y Nutrición Murcia | BC Salud | Nutrición y Acupuntura en Murcia","bcsaludmurcia@gmail.com","+34 698 93 67 84","https://www.bcsalud.es/","C. Corregidor Vicente Cano Altares, 1, 30007 Murcia, España","nutricionistas","Murcia",5,59
"Balans - Alimentación Emocional","","+34 601 64 70 37","http://saludbalans.es/","C. Rios, 7, 30007 Zarandona, Murcia, España","nutricionistas","Murcia",5,53
"Numurcia Juan Carlos I Dietistas Y Nutricionistas En Murcia","","+34 613 05 24 27","https://numurcia.com/","Av. Juan Carlos I, 54, 30007 Santiago y Zaraíche, Murcia, España","nutricionistas","Murcia",5,28
"José Miguel","john@doe.com","+34 747 46 51 90","http://josemiguelnutri.com/","C. Ambrosio de Salazar, 1, 30002 Murcia, España","nutricionistas","Murcia",5,35
"Belén Ortuño Nutrición","","+34 623 33 29 36","https://www.nutriban.com/","Pl. Circular, 4, 30008 Murcia, España","nutricionistas","Murcia",5,28
"Virginia Hernández Díaz, Dietista Nutricionista","soporte@doctoralia.com","","https://www.doctoralia.es/virginia-hernandez-diaz/dietista-nutricionista/murcia?utm_source=google&utm_medium=gmb&utm_campaign=144257&utm_content=website","Travesía Ctra. Fuensanta, Edificio espigas bajo, Santiago el Mayor, 30012 San Benito - Patiño, España","nutricionistas","Murcia",5,1
"Plenio Salud Integral","info@plenio.es","+34 613 05 24 27","https://www.plenio.es/","C. de Molina de Segura, 5, escalera 6, 2B, 30007 Puente Tocinos, Murcia, España","nutricionistas","Murcia",5,117
"Centro de Nutrición Garaulet","info@garaulet.com","+34 968 22 19 90","http://www.garaulet.com/","Pl. Raimundo González Frutos, 5, 30001 Murcia, España","nutricionistas","Murcia",4.7,50
"Clinica del Pie Rivera Podomur Murcia","","+34 968 21 17 98","http://www.clinicadelpierivera.com/","C. Escritor Alcalá Yañez, 2, bajos, 30003 Murcia, España","podólogos","Murcia",4.9,275
"Podólogo Murcia - Clínica del Pie Javier Gil","info@clinicadelpiejaviergil.com","+34 968 02 15 88","http://clinicadelpiejaviergil.com/","Pl. Dentistas Murcianos, 3, 30007 Murcia, España","podólogos","Murcia",5,70
"Clínica del Pie López del Amo","","+34 697 63 59 59","https://podologo.clinicalopezdelamo.com/","C. Jaime I el Conquistador, 11, 2B, 30008 Murcia, España","podólogos","Murcia",5,228
"Podoba","info@podoba.es","+34 622 32 65 76","http://podologomurcia.es/","C. Sta. Teresa, 3, 1ºC, 30005 Murcia, España","podólogos","Murcia",5,53
"Podólogo Murcia - Clínica del Pie Puerta Nueva","","+34 868 91 79 17","http://clinicadelpiepuertanueva.es/","C/ Puerta Nueva, 25, 30001 Murcia, España","podólogos","Murcia",4.8,34
"Clínica de podología Con buen pie","","+34 601 39 69 99","https://www.instagram.com/conbuenpiemurcia/","Pl. Cetina, 3, 30001 Murcia, España","podólogos","Murcia",4.9,87
"Clínica del pie Cermeño Murcia","","+34 968 23 19 64","https://clinicadelpiecermeno.com/","Plaza de la fuensanta 3 Gran Vía, Entlo.Izda., 30008 Murcia, España","podólogos","Murcia",4.9,35
"Clínica del Pie Ronda de Garay - Podólogo Adolfo Chavarría","podologo.adolfochavarria@hotmail.es","+34 968 22 11 93","http://www.podologoadolfochavarria.com/","Ronda de Garay, 17,1D, 30003 Murcia, España","podólogos","Murcia",5,18
"Clínica Podológica Diana Sánchez","","+34 629 56 02 87","","C. Nueva de San Antón, 1, 30009 Murcia, España","podólogos","Murcia",4.8,161
"Fernando Barnuevo Palazón, Podólogo","soporte@doctoralia.com","+34 622 32 65 76","https://www.doctoralia.es/fernando-barnuevo-palazon/podologo/murcia?utm_source=google&utm_medium=gmb&utm_campaign=163046&utm_content=website","C. Sta. Teresa, 3, 1ºC, 30005 Murcia, España","podólogos","Murcia",5,5
"David Hernández Argemí (Podólogo)","","+34 600 87 85 57","","C. Sierra de Peñarrubia, 24, 2ºD, 30009 Murcia, España","podólogos","Murcia",5,28
"Podohome Murcia Podologia a Domilicio","","+34 622 22 27 57","http://romandiazpodologia.com/podohome","C. Desembojo, 2, ESCALERA 2C, 30009 Murcia, España","podólogos","Murcia",5,23
"PODOLOGIA A DOMICILIO - Alberto Alcántara Olmos","","+34 636 88 21 92","https://www.albertoalcantarapodologo.com/","Rda. de Levante, 14, 30008 Murcia, España","podólogos","Murcia",5,32
"Salud Pie Centros de Podología Murcia","","+34 968 29 32 39","http://www.saludpie.es/","C. Jerónimo de Roda, 1, 1°Q, 30005 Murcia, España","podólogos","Murcia",4.8,13
"Clínica del pie Rivera Podólogo en Murcia","","+34 968 21 14 97","http://www.clinicadelpierivera.com/","C. Jumilla, 7, 30002 Murcia, España","podólogos","Murcia",4.4,58
"Clínica del Pie Martínez Zafra","","+34 626 70 05 88","","C/ Antonio Machado Bajo Nª3, 30009 Murcia, España","podólogos","Murcia",4.8,18
"Kamel Podólogo","","+34 633 18 33 44","","Paseo Florencia 46, Edificio Savia, 4 Escalera, 1-C, Rda. Sur, 30010 San Benito - Patiño, España","podólogos","Murcia",4.8,77
"CLINICA PODOLOGICA GADEA","","+34 968 88 31 99","http://clinicapodologicagadea.com/","C. de la Alberca, 17a, 1º G, 30120 El Palmar, Murcia, España","podólogos","Murcia",5,21
"AMANDA RIPOLL PODOLOGIA","","+34 868 91 28 40","http://www.amandaripollpodologia.com/","C. Arturo Duperier, 12, 30009 Murcia, España","podólogos","Murcia",4.7,14
"Da Vinci Ópticas Puente Viejo","","+34 601 33 96 58","http://davinciopticas.es/","C. Cartagena, 15, bajo, 30002 Murcia, España","ópticas","Murcia",5,142
"Ópticas y Audiología LUPER Murcia","hola@luper.es","+34 868 96 61 51","http://luper.es/","C. Barítono Marcos Redondo, 2, 30005 Murcia, España","ópticas","Murcia",4.9,1129
"Alain Afflelou Óptico y Audiólogo Murcia Avda Constitución","murcia.constitucion@afflelou.es","+34 968 41 65 16","https://www.afflelou.es/opticas/murcia/afflelou-avenida-de-la-constitucion-6-30008?utm_campaign=gmb&utm_medium=organic&utm_source=google_gmb","Av. de la Constitución, 6, 30008 Murcia, España","ópticas","Murcia",4.9,106
"Optica Constitucion","","+34 647 77 09 31","http://www.opticaconstitucion.com/","C. Lepanto, 3, 30008 Murcia, España","ópticas","Murcia",5,544
"Óptica Centrofama","","+34 968 20 18 90","https://naturalopticsgroup.com/opticas/optica-centrofama_Murcia_2960.html?utm_source=google&utm_medium=mybussines&utm_campaign=murcia-centrofarma","C/ Puerta Nueva, 8, 30001 Murcia, España","ópticas","Murcia",4.9,142
"Óptica Alba Murcia","opticaalba@regmurcia.com","+34 968 24 18 18","https://opticaalba.com/","Pl. Emilio Díez de Revenga, 4, 30008 Murcia, España","ópticas","Murcia",4.8,54
"General Óptica","","+34 968 24 80 96","https://www.generaloptica.es/es/?utm_source=gmb&utm_medium=organic&utm_campaign=Murcia&utm_term=1061","Av. de la Constitución, 5, 30008 Murcia, España","ópticas","Murcia",4.5,210
"Noveno B","","+34 968 20 51 61","https://novenob.es/","P.º la Fuente, 3, 30007 Murcia, España","ópticas","Murcia",5,239
"Ópticas y audiología Luper","hola@luper.es","+34 868 96 61 51","https://luper.es/","Av. de Canalejas, 3, 30002 Murcia, España","ópticas","Murcia",4.8,472
"Opticalia","velez@opticaliamurcia.es","+34 968 27 32 35","https://www.opticalia.com/es/tiendas/optica-murcia-marques-de-los-velez-opticalia","Av. Marqués de Los Vélez, 30007 Santiago y Zaraíche, Murcia, España","ópticas","Murcia",4.9,205
"Óptica Siglo XXI Murcia","","+34 968 23 18 06","https://www.opticasigloxxi.es/","Av. Marqués de Los Vélez, 56, 30007 Murcia, España","ópticas","Murcia",4.8,95
"Óptica Soloptical Murcia Thader","web@soloptical.com","+34 635 43 18 10","https://soloptical.net/es/soloptical-thader/?utm_source=Google&utm_medium=google_my_business&utm_campaign=sitio+web","Av. Juan de Borbón, S/N, Local 42 - 43, 30110 Churra, Murcia, España","ópticas","Murcia",4.9,1169
"General Optica - Visión y Audición","","+34 968 21 36 42","https://www.generaloptica.es/es/?utm_source=gmb&utm_medium=organic&utm_campaign=Murcia&utm_term=1108","Alameda de Colón, 3, 30002 Murcia, España","ópticas","Murcia",4.8,78
"VISTAOPTICA Murcia","","+34 623 47 50 61","https://vistaoptica.es/detalle/122-murcia_barrio_del_carmen","C. Torre de Romo, 25, 30002 Murcia, España","ópticas","Murcia",5,57
"Óptica y Centro Auditivo Soloptical Murcia Atalayas","web@soloptical.com","+34 638 76 96 39","https://soloptical.net/es/soloptical-atalayas/?utm_source=google_my_business&utm_medium=boton_sitio_web","Calle de Molina de Segura, 10, Local B11 41/40, 30007 Puente Tocinos, España","ópticas","Murcia",4.8,515
"Óptica Óptima","","+34 868 99 85 85","https://optica-optima.com/opticas/murcia/","Gran Vía del Escultor Francisco Salzillo, 4, 30004 Murcia, España","ópticas","Murcia",4.6,122
"Óptica y Centro Auditivo Soloptical Murcia Gran Via","","+34 697 37 38 27","","Gran Vía del Escultor Francisco Salzillo, 17, 30004 Murcia, España","ópticas","Murcia",5,289
"Centro Óptico Sánchez","info@sanchezcentrooptico.com","+34 968 96 70 11","https://sanchezcentrooptico.com/","Av. Príncipe de Asturias, 1, 30007 Santiago y Zaraíche, Murcia, España","ópticas","Murcia",4.9,45
"Optica en Murcia. Optica Romana","info@opticaromana.es","+34 635 26 25 62","http://optica-romana.es/","C. Madre de Dios, 2, 30004 Murcia, España","ópticas","Murcia",5,103
"óptica ALCÓN Audífonos","info@opticaalcon.com","+34 604 40 24 00","http://www.opticaalcon.com/","Rda. de Levante, 21, 30008 Murcia, España","ópticas","Murcia",5,114
"Farmacia Juan de Borbón 24 horas Murcia","","+34 968 28 02 80","https://www.compraenfarma.com/","Av. Don Juan de Borbon, 38, 30007 Santiago y Zaraíche, Murcia, España","farmacias","Murcia",4.1,204
"Farmacia 24 horas Marín Sánchez","","+34 968 21 86 99","","Rda. de Garay, 37, 30003 Murcia, España","farmacias","Murcia",3.7,94
"Farmacia Cónsul 24 horas","","+34 968 29 59 25","","Pl. Condestable, 2, 30009 Murcia, España","farmacias","Murcia",3.5,46
"Farmacia San Carlos","","+34 968 25 72 09","","C. Miguel Hernández, 7, 30011 Murcia, España","farmacias","Murcia",3.8,85
"Farmacia 24 horas Sandoval","","+34 968 21 18 49","https://farmacentromurcia.com/","Pl. Martínez Tornel, 1, 30004 Murcia, España","farmacias","Murcia",3.9,59
"Farmacia Pedro Sánchez Sanchez","","+34 968 29 35 22","","C. Don Alfonso Palazón Clemares, 2, 30009 Murcia, España","farmacias","Murcia",2.6,176
"Farmacia Santa Catalina 24h","","+34 968 13 42 19","https://farmaciabrionesweb.blogspot.com/","Av. de Sta. Catalina, 26-28, 30152 Aljucer, Murcia, España","farmacias","Murcia",4.3,161
"Farmacia Alemán","","+34 968 35 02 25","https://wa.me/c/34609484659","C. Princesa, 17, 30002 Murcia, España","farmacias","Murcia",4.9,190
"Farmacia La Purísima 365","","+34 968 25 11 27","https://www.farmacia365fmas.com/","Av. Cdad. de Almería, 59, 30010 Murcia, España","farmacias","Murcia",4.8,138
